2022.05.21 13:01:47 INFO  Downloaded https://repo1.maven.org/maven2/com/lihaoyi/mill-scalanativelib-api/0.8.0/mill-scalanativelib-api-0.8.0.jar[0m
2022.05.21 13:01:47 INFO  Downloading https://repo1.maven.org/maven2/org/scala-lang/modules/scala-xml_2.13/1.3.0/scala-xml_2.13-1.3.0-sources.jar[0m
2022.05.21 13:01:47 INFO  Downloaded https://repo1.maven.org/maven2/ch/epfl/scala/bloop-config_2.13/1.4.0-RC1/bloop-config_2.13-1.4.0-RC1.jar[0m
2022.05.21 13:01:47 INFO  Downloading https://repo1.maven.org/maven2/com/lihaoyi/mill-scalanativelib_2.13/0.8.0/mill-scalanativelib_2.13-0.8.0-sources.jar[0m
2022.05.21 13:01:47 INFO  Downloaded https://repo1.maven.org/maven2/org/scalameta/trees_2.13/4.3.20/trees_2.13-4.3.20-sources.jar[0m
2022.05.21 13:01:47 INFO  Downloading https://repo1.maven.org/maven2/net/java/dev/jna/jna-platform/5.0.0/jna-platform-5.0.0-sources.jar[0m
2022.05.21 13:01:47 INFO  Downloaded https://repo1.maven.org/maven2/com/lihaoyi/ammonite-runtime_2.13.2/2.2.0/ammonite-runtime_2.13.2-2.2.0-sources.jar[0m
2022.05.21 13:01:47 INFO  Downloading https://repo1.maven.org/maven2/com/lihaoyi/mill-main-core_2.13/0.8.0/mill-main-core_2.13-0.8.0-sources.jar[0m
2022.05.21 13:01:47 INFO  Downloaded https://repo1.maven.org/maven2/org/scala-lang/modules/scala-xml_2.13/1.3.0/scala-xml_2.13-1.3.0-sources.jar[0m
2022.05.21 13:01:47 INFO  Downloading https://repo1.maven.org/maven2/com/github/plokhotnyuk/jsoniter-scala/jsoniter-scala-core_2.13/2.0.4/jsoniter-scala-core_2.13-2.0.4.jar[0m
2022.05.21 13:01:47 INFO  Downloaded https://repo1.maven.org/maven2/com/lihaoyi/ujson_2.13/1.2.0/ujson_2.13-1.2.0-sources.jar[0m
2022.05.21 13:01:47 INFO  Downloading https://repo1.maven.org/maven2/com/lihaoyi/mill-scalalib-api_2.13/0.8.0/mill-scalalib-api_2.13-0.8.0-sources.jar[0m
2022.05.21 13:01:47 INFO  Downloaded https://repo1.maven.org/maven2/com/lihaoyi/mill-scalanativelib_2.13/0.8.0/mill-scalanativelib_2.13-0.8.0-sources.jar[0m
2022.05.21 13:01:47 INFO  Downloading https://repo1.maven.org/maven2/com/lihaoyi/mill-scalajslib_2.13/0.8.0/mill-scalajslib_2.13-0.8.0-sources.jar[0m
2022.05.21 13:01:47 INFO  Downloaded https://repo1.maven.org/maven2/com/lihaoyi/mill-main-core_2.13/0.8.0/mill-main-core_2.13-0.8.0-sources.jar[0m
2022.05.21 13:01:47 INFO  Downloading https://repo1.maven.org/maven2/com/lihaoyi/upickle-implicits_2.13/1.2.0/upickle-implicits_2.13-1.2.0-sources.jar[0m
2022.05.21 13:01:47 INFO  Downloaded https://repo1.maven.org/maven2/com/github/plokhotnyuk/jsoniter-scala/jsoniter-scala-core_2.13/2.0.4/jsoniter-scala-core_2.13-2.0.4.jar[0m
